0.199, 0.993
0.205, 0.909
0.211, 0.846
0.217, 0.758
0.225, 0.674
0.250, 0.580
0.275, 0.547
0.308, 0.526
0.349, 0.514
0.376, 0.472
0.402, 0.466
0.430, 0.448
0.477, 0.421
0.539, 0.369
0.593, 0.312
0.622, 0.264
0.671, 0.197
0.717, 0.119
0.774, 0.080
0.819, 0.134
0.851, 0.191
0.884, 0.246
0.927, 0.285
0.972, 0.330
1.000, 0.318
1.019, 0.020
1.049, 0.285
1.079, 0.321
1.110, 0.345
1.232, 0.336
1.305, 0.309
1.408, 0.285
1.476, 0.243
1.654, 0.213
1.819, 0.231
1.907, 0.255
2.158, 0.231
2.659, 0.228
2.952, 0.237
3.404, 0.231
3.707, 0.204
4.000, 0.167
4.440, 0.155
5.268, 0.158
6.370, 0.155
7.629, 0.152
10.048, 0.155
11.048, 0.146
12.984, 0.122
15.114, 0.149
18.275, 0.158
20.095, 0.158
